"station id","time","type","station name","station latitude","station longitude","bike_id","current bike count","initial bike count"
"3275","2019-09-01 07:58:26.1590","0","Columbus Drive","40.7183551982321","-74.0389144420624","29534","8","10"
"3184","2019-09-01 07:58:55.5170","0","Paulus Hook","40.7141454","-74.0335519","29435","10","10"
"3639","2019-09-01 07:59:29.2270","1","Harborside","40.7192517","-74.034234","29549","18","14"
"3191","2019-09-01 07:59:54.1330","0","Union St","40.7182113","-74.0836394","29444","9","10"
"3184","2019-09-01 08:00:34.4160","1","Paulus Hook","40.7141454","-74.0335519","29663","11","10"
"3211","2019-09-01 08:01:42.4120","1","Newark Ave","40.72152515","-74.046304543","29534","22","20"
"3225","2019-09-01 08:02:36.7090","0","Baldwin at Montgomery","40.7236589","-74.0641943","29617","10","11"
"3270","2019-09-01 08:02:40.3290","0","Jersey & 6th St","40.7252891078113","-74.0455716848373","29533","35","36"
"3195","2019-09-01 08:03:02.0040","1","Sip Ave","40.7308970978618","-74.0639126300812","29660","41","38"
"3195","2019-09-01 08:03:09.5000","1","Sip Ave","40.7308970978618","-74.0639126300812","29242","42","38"
"3681","2019-09-01 08:04:22.5400","0","Grand St","40.7151776773203","-74.0376833081245","29230","13","15"
"3213","2019-09-01 08:06:34.9170","1","Van Vorst Park","40.71848892","-74.047726625","29533","25","23"
"3211","2019-09-01 08:06:58.6020","0","Newark Ave","40.72152515","-74.046304543","26311","21","20"
"3792","2019-09-01 08:07:25.7400","1","Columbus Dr at Exchange Pl","40.71687","-74.03281","29230","13","10"
"3678","2019-09-01 08:08:23.6530","1","Fairmount Ave","40.7257261374256","-74.0719592571259","29444","18","17"
"3270","2019-09-01 08:08:44.1650","1","Jersey & 6th St","40.7252891078113","-74.0455716848373","26311","36","36"
"3267","2019-09-01 08:08:56.7450","0","Morris Canal","40.7124188237569","-74.0385255217552","26207","32","34"
"3268","2019-09-01 08:09:13.8430","0","Lafayette Park","40.713463826692","-74.0628585219383","29288","15","17"
"3277","2019-09-01 08:10:29.5040","1","Communipaw & Berry Lane","40.7143583687043","-74.0666109323502","29475","13","12"
"3186","2019-09-01 08:10:30.1400","1","Grove St PATH","40.7195861164717","-74.0431174635887","29617","16","10"
"3277","2019-09-01 08:10:37.1620","1","Communipaw & Berry Lane","40.7143583687043","-74.0666109323502","29440","14","12"
